Date,^GSPC,^DJI,^GSPTSE,QQQM,SFY,VDY.TO,XHU.TO,CADUSD=X,CAD=X
2008-06-16,1360.1400146484375,12269.080078125,14944.2998046875,,,,,0.9769441485404968,1.0235999822616577
2008-06-17,1350.9300537109375,12160.2998046875,15068.7998046875,,,,,0.9829941987991333,1.017300009727478
2008-06-18,1337.81005859375,12029.0595703125,15073.099609375,,,,,0.9830908179283142,1.017199993133545
2008-06-19,1342.8299560546875,12063.08984375,14790.2001953125,,,,,0.9853187799453735,1.0148999691009521
2008-06-20,1317.9300537109375,11842.6904296875,14580.7001953125,,,,,0.9835742712020874,1.016700029373169
2008-06-23,1318.0,11842.3603515625,14691.7998046875,,,,,0.9848335385322571,1.0154000520706177
2008-06-24,1314.2900390625,11807.4296875,14409.599609375,,,,,0.9883375763893127,1.0118000507354736
2008-06-25,1321.969970703125,11811.830078125,14441.099609375,,,,,0.9904912114143372,1.009600043296814
2008-06-26,1283.1500244140625,11453.419921875,14292.099609375,,,,,0.9871668219566345,1.0130000114440918
2008-06-27,1278.3800048828125,11346.509765625,14355.2001953125,,,,,0.9882400035858154,1.0118999481201172
2008-06-30,1280.0,11350.009765625,14467.0,,,,,0.9810654520988464,1.0192999839782715
2008-07-01,1284.9100341796875,11382.259765625,,,,,,,
2008-07-02,1261.52001953125,11215.509765625,14034.099609375,,,,,0.9879470467567444,1.0121999979019165
2008-07-03,1262.9000244140625,11288.5400390625,14143.599609375,,,,,0.982607901096344,1.017699956893921
2008-07-07,1252.31005859375,11231.9599609375,13712.7998046875,,,,,0.982221782207489,1.0181000232696533
2008-07-08,1273.699951171875,11384.2099609375,13809.7998046875,,,,,0.9823182821273804,1.0180000066757202
2008-07-09,1244.68994140625,11147.4404296875,13610.7998046875,,,,,0.9888262748718262,1.011299967765808
2008-07-10,1253.3900146484375,11229.01953125,13743.900390625,,,,,0.9917683601379395,1.0082999467849731
2008-07-11,1239.489990234375,11100.5400390625,13709.099609375,,,,,0.9920634627342224,1.0080000162124634
2008-07-14,1228.300048828125,11055.1904296875,13741.2998046875,,,,,0.993541955947876,1.006500005722046
2008-07-15,1214.9100341796875,10962.5400390625,13357.599609375,,,,,0.9986019730567932,1.0013999938964844
2008-07-16,1245.3599853515625,11239.2802734375,13503.7998046875,,,,,0.9986019730567932,1.0013999938964844
2008-07-17,1260.3199462890625,11446.66015625,13460.2998046875,,,,,0.9950248599052429,1.0049999952316284
2008-07-18,1260.6800537109375,11496.5703125,13516.0,,,,,0.9936407208442688,1.0063999891281128
2008-07-21,1260.0,11467.33984375,13689.2001953125,,,,,0.9986019730567932,1.0013999938964844
